element,team,element_type,first_name,second_name,web_name
350,11,3,Brenden,Aaronson,Aaronson
351,11,3,Wilfried,Gnonto,Gnonto
352,11,3,Jack,Harrison,Harrison
353,11,3,Daniel,James,James
354,11,3,Ethan,Ampadu,Ampadu
355,11,3,Sam,Greenwood,Greenwood
356,11,3,Ilia,Gruev,Gruev
357,11,3,Largie,Ramazani,Ramazani
358,11,3,Tanaka,Ao,Tanaka
359,11,3,Charlie,Crew,Crew
360,11,3,Joe,Gelhardt,Gelhardt
361,11,3,Darko,Gyabi,Gyabi
362,11,4,Joël,Piroe,Piroe
363,11,4,Patrick,Bamford,Bamford
364,11,4,Mateo,Joseph Fernández-Regatillo,Mateo Joseph
365,11,4,Lukas,Nmecha,Nmecha
493,11,3,Sean,Longstaff,Longstaff
660,11,3,Anton,Stach,Stach
665,11,1,Lucas Estella,Perri,Perri
691,11,4,Dominic,Calvert-Lewin,Calvert-Lewin
698,11,3,Noah,Okafor,Okafor
706,11,2,James,Justin,Justin
741,11,4,Harry,Gray,Gray
787,11,3,Sam,Chambers,Chambers
366,12,1,Alisson,Becker,A.Becker
367,12,1,Giorgi,Mamardashvili,Mamardashvili
368,12,1,Ármin,Pécsi,Pécsi
369,12,1,Freddie,Woodman,Woodman
370,12,2,Jeremie,Frimpong,Frimpong
371,12,2,Milos,Kerkez,Kerkez
372,12,2,Andrew,Robertson,Robertson
373,12,2,Virgil,van Dijk,Virgil
374,12,2,Ibrahima,Konaté,Konaté
375,12,2,Conor,Bradley,Bradley
376,12,2,Joe,Gomez,Gomez
377,12,2,Konstantinos,Tsimikas,Tsimikas
378,12,2,Amara,Nallo,Nallo
379,12,2,Rhys,Williams,R.Williams
380,12,2,Calvin,Ramsay,Ramsay
381,12,3,Mohamed,Salah,M.Salah
382,12,3,Florian,Wirtz,Wirtz
383,12,3,Luis,Díaz Marulanda,Luis Díaz
384,12,3,Cody,Gakpo,Gakpo
385,12,3,Federico,Chiesa,Chiesa
386,12,3,Alexis,Mac Allister,Mac Allister
387,12,3,Dominik,Szoboszlai,Szoboszlai
388,12,3,Curtis,Jones,C.Jones
390,12,3,Ryan,Gravenberch,Gravenberch
392,12,3,Endo,Wataru,Endo
393,12,3,Stefan,Bajčetić Maquieira,Bajcetic
394,12,3,James,McConnell,McConnell
395,12,3,Tyler,Morton,Morton
396,12,3,Trey,Nyoni,Nyoni
397,12,4,Darwin,Núñez Ribeiro,Darwin
398,12,4,Jayden,Danns,Danns
499,12,4,Alexander,Isak,Isak
661,12,4,Hugo,Ekitiké,Ekitiké
686,12,3,Rio,Ngumoha,Ngumoha
692,12,2,Giovanni,Leoni,Leoni
746,12,3,Kieran,Morrison,Morrison
760,12,2,Wellity,Lucky,Lucky
830,12,4,Will,Wright,Wright
832,12,2,Talla,Ndiaye,Ndiaye
82,13,3,Antoine,Semenyo,Semenyo
182,13,1,James,Trafford,Trafford
260,13,2,Marc,Guéhi,Guéhi
399,13,1,Ederson,Santana de Moraes,Ederson M.
401,13,1,Marcus,Bettinelli,Bettinelli
402,13,2,Rayan,Aït-Nouri,Aït-Nouri
403,13,2,Joško,Gvardiol,Gvardiol
404,13,2,Manuel,Akanji,Akanji
405,13,2,Nathan,Aké,Aké
406,13,2,Abdukodir,Khusanov,Khusanov
407,13,2,Matheus,Nunes,Matheus N.
408,13,2,Rúben,dos Santos Gato Alves Dias,Rúben
409,13,2,John,Stones,Stones
410,13,2,Rico,Lewis,Lewis
411,13,2,Nico,O'Reilly,O'Reilly
412,13,2,Vitor,de Oliveira Nunes dos Reis,Vitor Reis
413,13,3,Omar,Marmoush,Marmoush
414,13,3,Phil,Foden,Foden
415,13,3,Sávio,Moreira de Oliveira,Savinho
416,13,3,Bernardo,Mota Veiga de Carvalho e Silva,Bernardo
417,13,3,Rayan,Cherki,Cherki
418,13,3,Jérémy,Doku,Doku
420,13,3,İlkay,Gündoğan,Gündoğan
421,13,3,Rodrigo 'Rodri',Hernandez Cascante,Rodrigo
422,13,3,Mateo,Kovačić,Kovačić
423,13,3,Nico,González Iglesias,N.Gonzalez
425,13,3,Claudio,Echeverri,Echeverri
427,13,3,Tijjani,Reijnders,Reijnders
428,13,3,Sverre,Nypan,Nypan
429,13,3,Kalvin,Phillips,Phillips
430,13,4,Erling,Haaland,Haaland
736,13,1,Gianluigi,Donnarumma,Donnarumma
739,13,3,Divine,Mukasa,Mukasa
740,13,2,Stephen,Mfuni,Mfuni
742,13,3,Ryan,McAidoo,McAidoo
763,13,3,Charlie,Gray,Gray
764,13,3,Reigan,Heskey,Heskey
794,13,2,Max,Alleyne,Alleyne
119,14,3,Bryan,Mbeumo,Mbeumo
431,14,1,Altay,Bayındır,Bayindir
432,14,1,André,Onana,Onana
433,14,1,Elyh,Harrison,Harrison
434,14,1,Tom,Heaton,Heaton
435,14,1,Dermot,Mee,Mee
436,14,2,Matthijs,de Ligt,De Ligt
437,14,2,Lisandro,Martínez,Martinez
438,14,2,Noussair,Mazraoui,Mazraoui
439,14,2,Diego,León Blanco,D.Leon
440,14,2,Diogo,Dalot Teixeira,Dalot
441,14,2,Patrick,Dorgu,Dorgu
442,14,2,Harry,Maguire,Maguire
443,14,2,Luke,Shaw,Shaw
444,14,2,Leny,Yoro,Yoro
445,14,2,Harry,Amass,Amass
446,14,2,Tyler,Fredricson,Fredricson
447,14,2,Ayden,Heaven,Heaven
448,14,2,Tyrell,Malacia,Malacia
449,14,3,Bruno,Borges Fernandes,B.Fernandes
450,14,3,Matheus,Santos Carneiro da Cunha,Cunha
451,14,3,Marcus,Rashford,Rashford
452,14,3,Amad,Diallo,Amad
454,14,3,Antony,dos Santos,Antony
455,14,3,Mason,Mount,Mount
457,14,3,Carlos Henrique,Casimiro,Casemiro
458,14,3,Kobbie,Mainoo,Mainoo
459,14,3,Manuel,Ugarte Ribeiro,Ugarte
460,14,3,Toby,Collyer,Collyer
461,14,3,Jayce,Fitzgerald,Fitzgerald
462,14,3,Jack,Fletcher,J.Fletcher
463,14,3,Sékou,Koné,Kone
464,14,3,Jack,Moorhouse,Moorhouse
465,14,4,Rasmus,Højlund,Højlund
466,14,4,Joshua,Zirkzee,Zirkzee
467,14,4,Chido,Obi,Obi
468,14,4,Ethan,Wheatley,Wheatley
681,14,4,Benjamin,Sesko,Šeško
733,14,1,Senne,Lammens,Lammens
755,14,3,Shea,Lacey,Lacey
769,14,3,Bendito,Mantato,Bendito Mantato
771,14,3,Tyler,Fletcher,Fletcher
788,14,2,Godwill,Kukonki,Kukonki
827,14,3,Jim,Thwaites,Thwaites
52,15,3,Jacob,Ramsey,J.Ramsey
135,15,4,Yoane,Wissa,Wissa
469,15,1,Nick,Pope,Pope
471,15,1,Mark,Gillespie,Gillespie
472,15,1,Odysseas,Vlachodimos,Odysseas
473,15,2,Lewis,Hall,Hall
474,15,2,Fabian,Schär,Schär
475,15,2,Sven,Botman,Botman
476,15,2,Dan,Burn,Burn
477,15,2,Tino,Livramento,Livramento
478,15,2,Kieran,Trippier,Trippier
479,15,2,Emil,Krafth,Krafth
480,15,2,Jamaal,Lascelles,Lascelles
481,15,2,Alex,Murphy,A.Murphy
482,15,2,Harrison,Ashby,Ashby
483,15,2,Miodrag,Pivaš,Pivas
484,15,2,Matt,Targett,Targett
485,15,3,Anthony,Gordon,Gordon
486,15,3,Anthony,Elanga,Elanga
487,15,3,Harvey,Barnes,Barnes
488,15,3,Bruno,Guimarães Rodriguez Moura,Bruno G.
489,15,3,Jacob,Murphy,J.Murphy
490,15,3,Joelinton Cássio,Apolinário de Lira,Joelinton
491,15,3,Sandro,Tonali,Tonali
492,15,3,Antoñito,Cordero Campillo,Antoñito C.
494,15,3,Joe,Willock,Willock
495,15,3,Isaac,Hayden,Hayden
496,15,3,Garang,Kuol,Kuol
497,15,3,Lewis,Miley,L.Miley
498,15,3,Joe,White,White
500,15,4,William,Osula,Osula
501,15,4,Sean,Neave,Neave
674,15,1,Aaron,Ramsdale,Ramsdale
684,15,2,Malick,Thiaw,Thiaw
689,15,3,Seung-Soo,Park,Seung soo
714,15,4,Nick,Woltemade,Woltemade
753,15,1,John,Ruddy,Ruddy
765,15,2,Leo,Shahar,Shahar
772,15,3,Sam,Alabi,Alabi
12,16,2,Oleksandr,Zinchenko,Zinchenko
400,16,1,Stefan,Ortega Moreno,Ortega Moreno
426,16,3,James,McAtee,McAtee
502,16,1,Matz,Sels,Sels
503,16,1,Carlos Miguel,dos Santos Pereira,C.Miguel
504,16,1,Matt,Turner,Turner
505,16,2,Nikola,Milenković,Milenković
506,16,2,Murillo,Costa dos Santos,Murillo
507,16,2,Ola,Aina,Aina
