gameweek,Name,Team,Cost,App,Starts,Mins,On,Off,M/App,M/Strt,G,A,CS,GC,OG,PS,Svs,YC,RC,sBln,ARtn,Rtn,DC,B,DD,Tot,M/Pt,Pts/Strt
1,Lerma,CRY,4.9,1,0,21,1,0,21.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0.0
1,Lewis (Rico),MCI,4.9,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15.0,6.0
1,Lewis-Potter,BRE,4.9,1,0,21,1,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0.0
1,Livramento,NEW,4.9,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,12.9,7.0
1,Longstaff (Sean),NEW,4.9,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Lukic,FUL,5.0,1,1,90,0,1,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Luongo,IPS,4.3,1,1,63,0,1,63.0,63.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,31.5,2.0
1,Maatsen,AVL,4.3,1,0,22,1,0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,0.0
1,Mac Allister,LIV,6.3,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Maddison,TOT,6.9,1,1,71,0,1,71.0,71.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,5,14.2,5.0
1,Maguire,MUN,4.4,1,1,80,0,1,80.0,80.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,16.0,5.0
1,Mainoo,MUN,4.8,1,1,84,0,1,84.0,84.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,28.0,3.0
1,José Sá,WOL,4.4,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Martinelli,ARS,6.9,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Martinez,AVL,5.0,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Martínez,MUN,4.8,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,12.9,7.0
1,Mateta,CRY,7.7,1,1,45,0,1,45.0,45.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,45.0,1.0
1,Mavididi,LEI,5.0,1,0,21,1,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0.0
1,Mavropanos,WHU,4.4,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Mazraoui,MUN,4.9,1,1,81,0,1,81.0,81.0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,8,10.1,8.0
1,Mbeumo,BRE,8.2,1,1,89,0,1,89.0,89.0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,9,9.9,9.0
1,McAteer,LEI,4.7,1,0,14,1,0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,0.0
1,McCarthy,SOU,4.2,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,McGinn,AVL,5.4,1,1,60,0,1,60.0,60.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,30.0,2.0
1,McNeil,EVE,5.6,1,1,90,0,0,90.0,90.0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,McTominay,MUN,4.9,1,0,11,1,0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0.0
1,Mee (Ben),BRE,4.2,1,0,5,1,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0
1,Milner,BHA,5.0,1,1,77,0,1,77.0,77.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,38.5,2.0
1,Minteh,BHA,6.0,1,1,43,0,1,43.0,43.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,10.8,4.0
1,Mitchell,CRY,5.0,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Mitoma,BHA,6.2,1,1,84,0,1,84.0,84.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,8,10.5,8.0
