Player UUID,Player Name,Player Name Norm,Web Name
b2a0d2da-2ddd-45d6-a3b9-02ef9c079c0b,Anthony_Gordon_561,anthony gordon,Gordon
1eace504-7c1f-45f9-9a8c-c6d33a9c3ef9,Anthony_Knockaert,anthony knockaert,Knockaert
28ef1d1d-5b17-478a-9e9e-10a9f2b9f538,Anthony_Martial,anthony martial,Martial
730caae5-39ae-42c0-8fb6-241961e04e78,Anthony_Pilkington_103,anthony pilkington,Pilkington
e2d76277-7e9c-4ec9-8075-02474349e475,Antoine Semenyo,antoine semenyo,Semenyo
0baedf03-de0d-40b1-9545-422f80111c74,Antonee Robinson,antonee robinson,Robinson
cb9bb00b-eaea-4bbe-b54d-96107ec973f7,Antonio_Barragán,antonio barragan,Barragán
0de633ce-b1d1-4fd8-8e54-aae67b7d0076,Antonio_Barreca_588,antonio barreca,Barreca
3561564e-7bbc-4484-a550-92756a21cef0,Antonio_Martinez Lopez,antonio martinez lopez,Martínez
2622e8ea-e9e0-45fb-a5b9-8b3ffdfdd8d1,Antonio_Rüdiger,antonio rudiger,Rüdiger
de26f336-6c65-4e93-87da-bd43af11aae3,Antonio_Valencia,antonio valencia,Valencia
822f8cc5-e29e-4be9-8664-5815a22deb73,Antony Matheus dos Santos,antony matheus dos santos,Antony
b3ba75fe-292e-45b2-838a-c63479d62b03,Antonín Kinsky,antonin kinsky,Kinsky
0abd3a2f-339c-42c8-ad42-ab2ed8d6efe8,Antwoine Hackford,antwoine hackford,Hackford
7bec339b-5588-441c-970a-17b59a9a19c2,Anwar_El Ghazi_30,anwar el ghazi,El Ghazi
110d8796-3666-4f99-9da4-001113a5a9e0,Archie Gray,archie gray,Gray
2b47351d-3fc1-4485-9b37-2d0243fc5c9e,Archie Harris,archie harris,Harris
7db0ff7f-d187-484a-bc8c-44efb79c44f7,Archie_Mair_551,archie mair,Mair
83b19fb7-0fcd-43ad-a122-769de0046741,Aribim Pepple,aribim pepple,Pepple
f9c28d54-daa8-4e6c-b54e-81c5d48fa1fa,Arijanet_Muric_529,arijanet muric,Muric
50948c70-5534-4b87-bb60-8139ac0e909c,Armando_Broja_631,armando broja,Broja
3f2d717a-feaa-4a5b-83c3-58be9aa26ef0,Armel Bella-Kotchap,armel bellakotchap,Bella-Kotchap
4767ae35-9b0e-419c-a7d5-4bbfcc31605a,Armstrong Oko-Flex,armstrong okoflex,Oko-Flex
fc7101a2-e1e5-4947-b072-1771d90e6ef9,Arnaut Danjuma,arnaut danjuma,Danjuma
5eb78e61-575b-4b43-bbf3-2c5cd9822e29,Arnaut_Danjuma Groeneveld_492,arnaut danjuma groeneveld,Danjuma
0989ff95-ce73-4179-8a26-fa5bf6ea7b4b,Arne Slot,arne slot,Slot
4540c12b-14ca-43e6-95e5-13b2fcea6c2e,Aron_Gunnarsson_102,aron gunnarsson,Gunnarsson
a6d21360-bdf6-4ebf-bf56-217009372289,Arouna_Koné,arouna kone,Koné
f9f36c52-a22c-47fa-8bed-e2e1cb260752,Arthur Henrique Ramos de Oliveira Melo,arthur henrique ramos de oliveira melo,Arthur
bf96ca06-1b72-4c8b-8cca-483a60b877d4,Arthur Okonkwo,arthur okonkwo,Okonkwo
d79927b2-fa7f-4746-bb8e-a7f5dc4b4f91,Arthur_Masuaku,arthur masuaku,Masuaku
da7d5f7c-c17c-44f9-bc92-33cd41fc0c2d,Artur_Boruc,artur boruc,Boruc
dab4974b-7610-401a-bc42-86bc70c9fbb3,Asher Agbinone,asher agbinone,Agbinone
dd81090d-00fa-4971-aa3b-19e49cb78764,Ashley Darel Jazz_Richards_96,ashley darel jazz richards,Jazz Richards
e1e9b5f7-48e1-421b-986e-2ffd3526ba66,Ashley Phillips,ashley phillips,A.Phillips
99002292-57d9-4b1d-af8d-d7c93c484324,Ashley_Barnes,ashley barnes,Barnes
92a94e3c-b15a-4099-ad96-3067592429f9,Ashley_Fletcher,ashley fletcher,Fletcher
8a9d7182-93f6-47aa-87a0-03cb8175e5ab,Ashley_Westwood,ashley westwood,Westwood
b2e228e9-b767-48e8-b650-9cff7bd4cfb2,Ashley_Williams,ashley williams,Williams
51ad18ae-dc24-4c38-9ca3-cde1e80ef554,Ashley_Young,ashley young,Young
ad1a05e5-04b9-4932-8a1b-218e3e48e94e,Asmir_Begovic,asmir begovic,Begovic
7a8851df-a9ed-4a1f-820d-e3a85b21aac8,Auston Trusty,auston trusty,Trusty
17dd5069-557a-4cc4-b17f-53c076ad28a1,Axel Disasi,axel disasi,Disasi
863b8510-6ec9-4db9-88e1-3e10fd1c27da,Axel Piesold,axel piesold,Piesold
7e39c219-b939-4251-9f05-4b46b6a1301e,Axel_Tuanzebe,axel tuanzebe,Tuanzebe
24ce447e-9eef-4220-8d8a-445b2e56a934,Ayden Heaven,ayden heaven,Heaven
871f44dc-2e6b-4f04-ac88-ce7d2e4e2a1a,Aymeric_Laporte,aymeric laporte,Laporte
7e7d35a6-b058-4a2f-996e-c779c6ecc294,Ayotomiwa_Dele-Bashiru_563,ayotomiwa delebashiru,Dele-Bashiru
e262d455-e97c-4bcc-9626-f412a9b5156c,Ayoze_Pérez,ayoze perez,Pérez
b0472061-cd78-4e89-97ed-0e6c9bef461b,Bacary_Sagna,bacary sagna,Sagna
29f0f5c8-0dd6-447a-bf97-9fff602cf971,Bafétimbi_Gomis,bafetimbi gomis,Gomis
1e28392e-3a21-45ea-92a3-13033eed20f1,Bailey_Peacock-Farrell_495,bailey peacockfarrell,Peacock-Farrell
ccc2b071-31e7-4048-acc3-cb6951ce53f9,Baily_Cargill,baily cargill,Cargill
8198031c-74a7-4d47-89c2-b1efff237435,Bakary_Sako,bakary sako,Sako
1df1ed00-9b05-41c2-acb3-b9590558bb9d,Bali Mumba,bali mumba,Mumba
56cafc8d-c0da-4719-8259-8ed162abdf35,Bamidele_Alli,bamidele alli,Dele
4c312b13-ad1c-421f-bc07-05c88a45c100,Barry_Douglas_424,barry douglas,Douglas
0d82d0aa-7a5e-4b04-8a09-4863f249cac7,Bart Verbruggen,bart verbruggen,Verbruggen
d2769b92-2145-4204-886c-4de3f6c7e4b7,Bartosz_Kapustka,bartosz kapustka,Kapustka
f5cfcb05-9a3d-47fc-a389-f10d71b08483,Bashir Humphreys,bashir humphreys,Humphreys
9e75f2e0-b4f4-4bef-91a3-148d81c2a97d,Bastian_Schweinsteiger,bastian schweinsteiger,Schweinsteiger
13b97ee3-5afc-4534-9907-990418c4fe55,Bastien Meupiyou,bastien meupiyou,Meupiyou
4a5f4ef3-40d6-49c0-b097-a71f7745ffbc,Ben Brereton,ben brereton,Brereton Díaz
6d0edbcd-486d-4bd5-990c-a173a9669417,Ben Brereton Díaz,ben brereton diaz,Brereton Díaz
a6cbfc53-7473-4c96-95df-830bba437fef,Ben Broggio,ben broggio,Broggio
4bd4f3bb-655e-4bc4-9828-8c6cddbac564,Ben Chilwell,ben chilwell,Chilwell
5b36fb4a-e12c-4019-98c4-a6e711452946,Ben Doak,ben doak,Doak
368e8e0b-a14b-4bdb-884d-baee7cd1edc0,Ben Greenwood,ben greenwood,Greenwood
333bdd8b-7f9a-4e3a-938e-306d89c50edc,Ben Jackson,ben jackson,Jackson
857b63fa-49ee-4df3-b692-95b19ff1f06a,Ben Knight,ben knight,Knight
a3a71876-92e8-4c28-8a14-c56b7ea9b39f,Ben Nelson,ben nelson,Nelson
c9d9a439-7885-435c-b549-b7443a675388,Ben Parkinson,ben parkinson,Parkinson
74e3827a-040f-41c5-ac68-4e81d592e8e2,Ben Pearson,ben pearson,Pearson
a9bba92b-d8b9-466e-81f6-4efd21e249ed,Ben Winterburn,ben winterburn,Winterburn
3e20649c-3f65-4d75-998a-a137be556e95,Ben_Davies,ben davies,Davies
5b3c5838-84a6-44ca-8d87-553445724e9c,Ben_Foster,ben foster,Foster
01d1c59d-f67e-481a-ae14-145782e0956d,Ben_Gibson,ben gibson,Gibson
523378e7-4c3d-4c5b-a624-5a839b6f5b19,Ben_Godfrey_273,ben godfrey,Godfrey
62a2b4cc-3fce-401a-b374-e732ece2e076,Ben_Hamer,ben hamer,Hamer
718034d1-1259-42f5-93b1-065ed84df157,Ben_Hinchcliffe,ben hinchcliffe,Hinchcliffe
d4a1a307-ee66-4503-957d-b7e17fd43e13,Ben_Johnson,ben johnson,Johnson
1d09665b-d310-43a9-8c61-b796a715a124,Ben_Mee,ben mee,Mee
01d9e2c2-79d9-4ae9-9ade-008db3292ee2,Ben_Osborn_472,ben osborn,Osborn
5216a482-dbcf-49d5-b59a-2f2fac47f289,Ben_Watson,ben watson,Watson
450bb2fa-45ce-4d8d-b428-6481c1227a97,Ben_White_559,ben white,White
7f1985e1-e457-47aa-93c3-43ae266b0ce2,Ben_Wilmot_544,ben wilmot,Wilmot
ccf8c576-8a90-4e98-ab4f-d9d3ee7d7e15,Ben_Woodburn,ben woodburn,Woodburn
c543c4ab-3f9f-4d44-a508-b4787140529e,Ben_Wynter,ben wynter,Wynter
57640b67-1f88-4ad5-9181-6fbd9d8b2409,Bendegúz Bolla,bendeguz bolla,Bolla
53e9283d-9902-4e7e-a17c-29dae7726650,Beni_Baningime,beni baningime,Baningime
c1a20886-cf92-435b-971a-0df7a6c3170e,Benicio Baker-Boaitey,benicio bakerboaitey,Baker-Boaitey
a38bdeb5-7914-412c-923b-7a71ff8447f6,Benik_Afobe,benik afobe,Afobe
